[2020-09-16 15:58:15,573][werkzeug][INFO] -  * Running on http://127.0.0.1:8081/ (Press CTRL+C to quit)
[2020-09-16 15:58:48,893][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:48] "[37mGET /get_label_value_on_image/none/0430_12_46_44___i1134514_SG________________CR_TP1_ID465656_CAM0_TP1_THR892_CN1588250807032361000_TCN-465656___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:48,900][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:48] "[37mGET /marked_image/0430_12_46_44___i1134514_SG________________CR_TP1_ID465656_CAM0_TP1_THR892_CN1588250807032361000_TCN-465656___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:51,400][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:51] "[37mGET /get_label_value_on_image/none/0429_17_19_54___i3675439_IN________________CR_TP1_ID1197451_CAM0_TP1_THR763_CN1588180829775901000_TCN-1197451___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:52,467][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:52] "[37mGET /get_label_value_on_image/none/0429_17_09_06___i3674800__________SM_______CR_TP1_ID1196554_CAM0_TP1_THR717_CN1588180182164857000_TCN-1196554___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:54,998][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:54] "[37mGET /get_label_value_on_image/none/0429_17_19_54___i3675439_IN________________CR_TP1_ID1197451_CAM0_TP1_THR763_CN1588180829775901000_TCN-1197451___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:55,447][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:55] "[37mGET /get_label_value_on_image/none/0430_12_46_44___i1134514_SG________________CR_TP1_ID465656_CAM0_TP1_THR892_CN1588250807032361000_TCN-465656___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:58,359][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:58] "[37mGET /set_filter/person/to_check/person/no/none/%3Cclear%3E%20or%20%3Cmulty%3E HTTP/1.1[0m" 200 -
[2020-09-16 15:58:58,361][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:58] "[37mGET /get_label_value_on_image/person/2019-08-31_11-08-15_id289_appears_way_area.jpg HTTP/1.1[0m" 200 -
[2020-09-16 15:59:00,305][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:00] "[37mGET /get_label_value_on_image/person/2019-09-16_14-19-22_id61433__appears_.jpg HTTP/1.1[0m" 200 -
[2020-09-16 15:59:00,920][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:00] "[37mGET /get_label_value_on_image/person/0429_14_28_49___i3664638___________________CR_TP1_ID1179477_CAM0_TP1_THR674_CN-1179477_TCN-1179477___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:01,445][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:01] "[37mGET /get_label_value_on_image/person/0506_07_21_10___i5___________________CR_TP1_ID1000000105_CAM0_TP1_THR650_CN-1000000105_TCN-1000000105_MN.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:02,073][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:02] "[37mGET /get_label_value_on_image/person/0326_13_01_14___i82422_LOOK_CLR_TP1_ID26915_CAM0_TP1_THR847_CN1585227673441415000_TCN-26915.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:02,757][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:02] "[37mGET /get_label_value_on_image/person/0429_17_09_06___i3674800__________SM_______CR_TP1_ID1196554_CAM0_TP1_THR717_CN1588180182164857000_TCN-1196554___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:03,355][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:03] "[37mGET /get_label_value_on_image/person/0429_17_19_54___i3675439_IN________________CR_TP1_ID1197451_CAM0_TP1_THR763_CN1588180829775901000_TCN-1197451___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:04,016][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:04] "[37mGET /get_label_value_on_image/person/0430_12_46_44___i1134514_SG________________CR_TP1_ID465656_CAM0_TP1_THR892_CN1588250807032361000_TCN-465656___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:05,394][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:05] "[37mGET /get_label_value_on_image/person/0429_17_19_54___i3675439_IN________________CR_TP1_ID1197451_CAM0_TP1_THR763_CN1588180829775901000_TCN-1197451___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:06,526][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:06] "[37mGET /get_label_value_on_image/person/0429_17_09_06___i3674800__________SM_______CR_TP1_ID1196554_CAM0_TP1_THR717_CN1588180182164857000_TCN-1196554___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:09,166][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:09] "[37mGET /get_label_value_on_image/person/0429_17_19_54___i3675439_IN________________CR_TP1_ID1197451_CAM0_TP1_THR763_CN1588180829775901000_TCN-1197451___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:09,775][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:09] "[37mGET /get_label_value_on_image/person/0430_12_46_44___i1134514_SG________________CR_TP1_ID465656_CAM0_TP1_THR892_CN1588250807032361000_TCN-465656___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:10,829][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:10] "[37mGET /set_value/0430_12_46_44___i1134514_SG________________CR_TP1_ID465656_CAM0_TP1_THR892_CN1588250807032361000_TCN-465656___.png/person/non_clear HTTP/1.1[0m" 200 -
[2020-09-16 15:59:11,643][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:11] "[37mGET /get_label_value_on_image/person/0508_14_47_54___i8921009_SB________________CR_TP1_ID2648488_CAM0_TP1_THR881_CN1588949279556170000_TCN-2648488___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:11,647][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:11] "[37mGET /marked_image/0508_14_47_54___i8921009_SB________________CR_TP1_ID2648488_CAM0_TP1_THR881_CN1588949279556170000_TCN-2648488___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:59:14,114][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:59:14] "[37mGET /set_value/0508_14_47_54___i8921009_SB________________CR_TP1_ID2648488_CAM0_TP1_THR881_CN1588949279556170000_TCN-2648488___.png/person/non_clear HTTP/1.1[0m" 200 -
